type,array_length,time,try
seq_mul,1000,0.0000045180,0
simd_mul,1000,0.0000007030,0
seq_mul_reduce,1000,0.0000076410,0
simd_mul_reduce,1000,0.0000005730,0
seq_mul,1000,0.0000044950,1
simd_mul,1000,0.0000006120,1
seq_mul_reduce,1000,0.0000076680,1
simd_mul_reduce,1000,0.0000006240,1
seq_mul,1000,0.0000044780,2
simd_mul,1000,0.0000006090,2
seq_mul_reduce,1000,0.0000076680,2
simd_mul_reduce,1000,0.0000006220,2
seq_mul,1000,0.0000044780,3
simd_mul,1000,0.0000006150,3
seq_mul_reduce,1000,0.0000076680,3
simd_mul_reduce,1000,0.0000006170,3
seq_mul,1000,0.0000044790,4
simd_mul,1000,0.0000006090,4
seq_mul_reduce,1000,0.0000076680,4
simd_mul_reduce,1000,0.0000006220,4
seq_mul,1000,0.0000044800,5
simd_mul,1000,0.0000006100,5
seq_mul_reduce,1000,0.0000076690,5
simd_mul_reduce,1000,0.0000006190,5
seq_mul,1000,0.0000044790,6
simd_mul,1000,0.0000006130,6
seq_mul_reduce,1000,0.0000076680,6
simd_mul_reduce,1000,0.0000006180,6
seq_mul,1000,0.0000044790,7
simd_mul,1000,0.0000006090,7
seq_mul_reduce,1000,0.0000076690,7
simd_mul_reduce,1000,0.0000006250,7
seq_mul,1000,0.0000044790,8
simd_mul,1000,0.0000006110,8
seq_mul_reduce,1000,0.0000076690,8
simd_mul_reduce,1000,0.0000006240,8
seq_mul,1000,0.0000044780,9
simd_mul,1000,0.0000006110,9
seq_mul_reduce,1000,0.0000076690,9
simd_mul_reduce,1000,0.0000006210,9
seq_mul,1001000,0.0060646760,0
simd_mul,1001000,0.0006032190,0
seq_mul_reduce,1001000,0.0077635850,0
simd_mul_reduce,1001000,0.0005097400,0
seq_mul,1001000,0.0056822660,1
simd_mul,1001000,0.0006516940,1
seq_mul_reduce,1001000,0.0077597790,1
simd_mul_reduce,1001000,0.0005629150,1
seq_mul,1001000,0.0054867200,2
simd_mul,1001000,0.0007063550,2
seq_mul_reduce,1001000,0.0076133490,2
simd_mul_reduce,1001000,0.0005855880,2
seq_mul,1001000,0.0053914010,3
simd_mul,1001000,0.0006512530,3
seq_mul_reduce,1001000,0.0076457620,3
simd_mul_reduce,1001000,0.0005157340,3
seq_mul,1001000,0.0053990500,4
simd_mul,1001000,0.0006698410,4
seq_mul_reduce,1001000,0.0075669030,4
simd_mul_reduce,1001000,0.0005640410,4
seq_mul,1001000,0.0053676800,5
simd_mul,1001000,0.0006437350,5
seq_mul_reduce,1001000,0.0076008160,5
simd_mul_reduce,1001000,0.0005150310,5
seq_mul,1001000,0.0054322380,6
simd_mul,1001000,0.0006473680,6
seq_mul_reduce,1001000,0.0075428380,6
simd_mul_reduce,1001000,0.0005180300,6
seq_mul,1001000,0.0054900410,7
simd_mul,1001000,0.0006418780,7
seq_mul_reduce,1001000,0.0075681450,7
simd_mul_reduce,1001000,0.0005150340,7
seq_mul,1001000,0.0053798370,8
simd_mul,1001000,0.0007080130,8
seq_mul_reduce,1001000,0.0076021360,8
simd_mul_reduce,1001000,0.0005631810,8
seq_mul,1001000,0.0057346300,9
simd_mul,1001000,0.0013549240,9
seq_mul_reduce,1001000,0.0147526350,9
simd_mul_reduce,1001000,0.0011165360,9
seq_mul,2001000,0.0202229260,0
simd_mul,2001000,0.0030690370,0
seq_mul_reduce,2001000,0.0158303670,0
simd_mul_reduce,2001000,0.0011100610,0
seq_mul,2001000,0.0109214030,1
simd_mul,2001000,0.0019889840,1
seq_mul_reduce,2001000,0.0156676670,1
simd_mul_reduce,2001000,0.0011903140,1
seq_mul,2001000,0.0111775250,2
simd_mul,2001000,0.0025452550,2
seq_mul_reduce,2001000,0.0154546350,2
simd_mul_reduce,2001000,0.0010516410,2
seq_mul,2001000,0.0109394530,3
simd_mul,2001000,0.0017945280,3
seq_mul_reduce,2001000,0.0153324970,3
simd_mul_reduce,2001000,0.0012241260,3
seq_mul,2001000,0.0108221820,4
simd_mul,2001000,0.0015073910,4
seq_mul_reduce,2001000,0.0151431010,4
simd_mul_reduce,2001000,0.0010820330,4
seq_mul,2001000,0.0108176460,5
simd_mul,2001000,0.0014928850,5
seq_mul_reduce,2001000,0.0153363050,5
simd_mul_reduce,2001000,0.0010409700,5
seq_mul,2001000,0.0106046230,6
simd_mul,2001000,0.0016675230,6
seq_mul_reduce,2001000,0.0151445020,6
simd_mul_reduce,2001000,0.0010605740,6
seq_mul,2001000,0.0104544590,7
simd_mul,2001000,0.0015166800,7
seq_mul_reduce,2001000,0.0150764090,7
simd_mul_reduce,2001000,0.0010797460,7
seq_mul,2001000,0.0106920840,8
simd_mul,2001000,0.0016251820,8
seq_mul_reduce,2001000,0.0154591770,8
simd_mul_reduce,2001000,0.0010399780,8
seq_mul,2001000,0.0107207900,9
simd_mul,2001000,0.0014723470,9
seq_mul_reduce,2001000,0.0154638060,9
simd_mul_reduce,2001000,0.0010657850,9
seq_mul,3001000,0.0156965120,0
simd_mul,3001000,0.0025558030,0
seq_mul_reduce,3001000,0.0232525810,0
simd_mul_reduce,3001000,0.0016224220,0
seq_mul,3001000,0.0159515270,1
simd_mul,3001000,0.0025447320,1
seq_mul_reduce,3001000,0.0230769050,1
simd_mul_reduce,3001000,0.0015754380,1
seq_mul,3001000,0.0159188760,2
simd_mul,3001000,0.0032984950,2
seq_mul_reduce,3001000,0.0232873750,2
simd_mul_reduce,3001000,0.0017672880,2
seq_mul,3001000,0.0165517730,3
simd_mul,3001000,0.0029320890,3
seq_mul_reduce,3001000,0.0226367190,3
simd_mul_reduce,3001000,0.0015679680,3
seq_mul,3001000,0.0155552400,4
simd_mul,3001000,0.0021924590,4
seq_mul_reduce,3001000,0.0226414970,4
simd_mul_reduce,3001000,0.0015716040,4
